property_name,reviewer,date,stars,heading,review
TVS Emerald Atrium at Green Acres,Raja,27/01/2016,4,Kolapakkam.,?
DAC Chromantique,Venkat,11/05/2014,4,Chitlapakkam.,?
Nest Epic,Mohan,31/05/2014,4,Medavakkam.,?
Radiance The Pride,Vishwa,07/03/2015,4,Pallavaram.,?
Brigade Xanadu,Guest User,21/05/2021,3,Nice project.,Still the project is under construction possession will be on Jun 24. The overall project is nice. Good connectivity and good quality of the project which is connected to all the major areas.
Brigade Xanadu,Guest User,27/08/2020,5,Nice project.,This is an amazing project with a kind of lifestyle I've never seen before in Chennai. Also the brand itself Brigade is famous for its quality and on-time delivery. Post completion of this project I am sure this is gonna be a landmark for it's kind @ 10 Km radius. Very promising project.
Brigade Xanadu,Guest User,21/05/2021,3,Nice project.,Still the project is under construction possession will be on Jun 24. The overall project is nice. Good connectivity and good quality of the project which is connected to all the major areas.
Brigade Xanadu,Guest User,27/08/2020,5,Nice project.,This is an amazing project with a kind of lifestyle I've never seen before in Chennai. Also the brand itself Brigade is famous for its quality and on-time delivery. Post completion of this project I am sure this is gonna be a landmark for it's kind @ 10 Km radius. Very promising project.
Brigade Xanadu,Guest User,19/08/2020,0,Affordable Apartment,This apartment located in Mogappair.This apartment amenities have car parking swimming pool multi-purpose hall and garden etc.
Brigade Xanadu,Vanan,30/09/2013,5,Mogappair West.,?
TVS Emerald Atrium at Green Acres,Raja,27/01/2016,4,Kolapakkam.,?
Olympia Opaline Sequel,Guest User,19/05/2021,5,Beautiful Project.,It is well maintained and good cultural diversity. Great activity zones. Opaline Sequel is one opportunity that makes a comeback with a renewed and enhanced appeal. That will surpass your dreams of a dream home. With a fresh and mesmerizing design appeal and a natural vista that soothes your eyes. T... Read More
Olympia Opaline Sequel,Guest User,18/05/2021,5,Nice project.,"It is a good community, well-maintained ambient inside the community area, cool place for walking. Daily needs are with doorstep delivery. It is a very calm place. A lot of space for kids to play. It is one of the best amenities provided by the builder."
Olympia Opaline Sequel,Guest User,19/05/2021,5,Beautiful Project.,It is well maintained and good cultural diversity. Great activity zones. Opaline Sequel is one opportunity that makes a comeback with a renewed and enhanced appeal. That will surpass your dreams of a dream home. With a fresh and mesmerizing design appeal and a natural vista that soothes your eyes. T... Read More
Olympia Opaline Sequel,Guest User,18/05/2021,5,Nice project.,"It is a good community, well-maintained ambient inside the community area, cool place for walking. Daily needs are with doorstep delivery. It is a very calm place. A lot of space for kids to play. It is one of the best amenities provided by the builder."
Olympia Opaline Sequel,Guest User,18/05/2021,5,Beautiful project.,The project community is good with a lot of young crowds and senior Citizens. They have Apollo Clinic inside the Premises. Plus point is Metro station comes right in front of the society. Overall it is the best project.
Olympia Opaline Sequel,Guest User,18/05/2021,5,Beautiful Project.,The apartment community is good with it. A lot of young crowds and senior citizens. They have Apollo Clinic inside the premises. Metro station comes right in front of the apartment.
Olympia Opaline Sequel,Guest User,12/07/2020,4,Best of its location,This apartment located in navalur.This apartment amenities have swimming pool car parking rainwater harvesting security kids play area
Olympia Opaline Sequel,Navaneeth,10/12/2013,4,Navalur.,?
Isha Santhosham,Shyamsundar,13/12/2013,4,Perungalathur.,?
RWD Grand Corridor,Alvina ,07/05/2013,0,Review Of Vanagaram,?
XS Real Catalunya City,Guest User,22/05/2021,5,Good project.,The design is good and the quality of construction also good. The complex is maintained well. The ambiance is good and scenic beautiful. Maintenance is also good.
XS Real Catalunya City,Guest User,18/08/2020,4,Good Project.,"This apartment is located in siruseri. This apartment has amenities like, swimming pool, car parking, kids play area, gym, security available."
XS Real Catalunya City,Guest User,22/05/2021,5,Good project.,The design is good and the quality of construction also good. The complex is maintained well. The ambiance is good and scenic beautiful. Maintenance is also good.
XS Real Catalunya City,Guest User,18/08/2020,4,Good Project.,"This apartment is located in siruseri. This apartment has amenities like, swimming pool, car parking, kids play area, gym, security available."
XS Real Catalunya City,Anshu,26/03/2013,0,Review Of Siruseri,?
ETERNE,Raj,02/03/2019,5,Kolapakkam.,?
Lake Dugar,Guest User,09/12/2020,5,Good Project.,The project with international standard design as podium level garden. The location is good and the view is very soothing. Construction quality is also very good.
Lake Dugar,Vijay,12/07/2020,5,Lake Dugar,This Area is good location.. School and Market are available in the location.. This apartment indoor games and kids play Area are available..
Lake Dugar,Guest User,09/12/2020,5,Good Project.,The project with international standard design as podium level garden. The location is good and the view is very soothing. Construction quality is also very good.
Lake Dugar,Vijay,12/07/2020,5,Lake Dugar,This Area is good location.. School and Market are available in the location.. This apartment indoor games and kids play Area are available..
Lake Dugar,Jerkin,16/04/2016,5,Ambattur.,?
Bhaggyam Srishti,parthiban g,18/08/2018,5,Sholinganallur.,?
Sai Elina Apartment,Indra,01/06/2012,0,Review Of Anakaputhur,?
PBEL City,Guest User,12/07/2020,4,Review of PBEL City_Kelambakkam,This apartment located in kelambakkam.This apartment amenities have swimming pool and cricket ground kids play area and security available
PBEL City,Guest User,12/07/2020,4,Review of PBEL City_Kelambakkam,This apartment located in kelambakkam.This apartment amenities have swimming pool and cricket ground kids play area and security available
PBEL City,Saravanan,18/09/2016,5,Kelambakkam.,?
Gokulam Apartments,Veera,21/04/2013,0,Review Of Madhavaram,?
Summer Garden,Rajeswari,13/04/2013,0,Review Of Saligramam,?
Sri Ramanujar Nagar,Tamilselvi,22/12/2015,4,Chengalpet is the best location.,?
Mahidhara Supreme,Amar,03/10/2018,4,Oragadam Sriperumbudur.,?
GP Elegant Castle,Sebastian,23/06/2011,0,Review Of Padi,?
Whitefield Mudra Phase 4,Guest User,07/08/2020,4,Nice Project.,"This apartment located in Medavakkam. This apartment amenities have swimming pool, kids play area and security."
Whitefield Mudra Phase 4,Guest User,07/08/2020,4,Nice Project.,"This apartment located in Medavakkam. This apartment amenities have swimming pool, kids play area and security."
Whitefield Mudra Phase 4,Praveen,30/07/2014,4,Medavakkam.,?
PS  Nexterra,Guest User,18/05/2021,5,Nice Project.,It is one of the best value propositions in the vicinity. Highest UDS and direct access from OMR. It is one of the best finishes. Value for money homes.
PS  Nexterra,Guest User,18/05/2021,5,Nice Project.,It is one of the best value propositions in the vicinity. Highest UDS and direct access from OMR. It is one of the best finishes. Value for money homes.
PS  Nexterra,Guest User,18/05/2021,5,Nice Project.,It is one of the best value propositions in the vicinity. Highest UDS and direct access from OMR. It is one of the best finishes. Value for money homes.
PS  Nexterra,Guest User,18/05/2021,5,Nice Project.,It is one of the best value propositions in the vicinity. Highest UDS and direct access from OMR. It is one of the best finishes. Value for money homes.
PS  Nexterra,Guest User,16/05/2021,4,Newly constructed Best project.,It's a newly Construction project with good amenities. One of the best value propositions in the vicinity. security is good in society. best project form living.Value for money homes. I love this project.
PS  Nexterra,Guest User,16/05/2021,4,peaceful and calm residential project.,"Elegant and posh-looking apartments in occupy status. Nice and peaceful location, value for money project. Community with beautiful atmosphere, peaceful and calm residential space in city limit."
PS  Nexterra,dinesh,07/07/2015,5,Sholinganallur.,?
Prestige Bella Vista,Guest User,16/06/2021,3,Good project.,Prestige Bella Vista is a residential project located in Porur Chennai with all modern amenities and facilities with lots of open space and 24 hours security.
Prestige Bella Vista,Guest User,12/06/2021,5,Nice project.,"Away from the hustle and bustle of society. Greenery, connectivity, ventilation, and it also has spacious surroundings."
Prestige Bella Vista,Guest User,16/06/2021,3,Good project.,Prestige Bella Vista is a residential project located in Porur Chennai with all modern amenities and facilities with lots of open space and 24 hours security.
Prestige Bella Vista,Guest User,12/06/2021,5,Nice project.,"Away from the hustle and bustle of society. Greenery, connectivity, ventilation, and it also has spacious surroundings."
Prestige Bella Vista,Guest User,11/01/2021,4,Nice project.,It is a nice apartment. It is good location nice amenities and a well-maintained project. Near the market is huge and transportation is also good.
Prestige Bella Vista,Guest User,27/12/2020,4,Good Project,Prestige Bella Vista is nice apartment. Good Location nice amenities and well maintained project. Good Parking facilities
Prestige Bella Vista,Guest User,23/12/2020,4,Good project.,This is a big residency project offers apartment and the project provide good amenities and in this project has so many big trees in this project.
Prestige Bella Vista,Guest User,20/12/2020,4,Good project,Best proposed project of this prime location where you find many famous schools and colleges. Nearby the market is huge and transportation is also good.
Prestige Bella Vista,Guest User,19/12/2020,4,Good project,"The project offers apartments with perfect contemporary architecture and features to provide a comfortable living. It also has amenities like a Jogging Track, Lawn tennis court and Swimming pool ensuring the health and recreational needs."
Prestige Bella Vista,Kumaran,26/07/2019,5,Iyyappanthangal.,?
Temple Green Heights,Guest User,15/08/2020,4,Good environment,This apartment located in oragadam. This apartment amenities have swimming pool kids play area car parking security and shops available
Temple Green Heights,Guest User,15/08/2020,4,Good environment,This apartment located in oragadam. This apartment amenities have swimming pool kids play area car parking security and shops available
Temple Green Heights,Amar,03/10/2018,4,Oragadam Sriperumbudur.,?
Palmera Garden Phase II,JANAKIRAMAN.V,04/06/2017,4,Thoraipakkam.,?
BSR Balaji Enclave,Guest User,28/08/2020,5,Good Project.,"Srisailam highway is one of the most developing residential projects. Oxygen City, sukruthi tech park are few good projects around this that are near BTR. Here all good amenities are available. Well maintained.	"
BSR Balaji Enclave,Guest User,27/08/2020,5,Nice project.,"It is a spacious residential area. The approach from the main road is torturous and crowded during peak hours. The security is very strict in terms of checking your credentials and controlling the way you drive inside the premises, so no mishaps. The lifts, walkways and steps are clean."
BSR Balaji Enclave,Guest User,28/08/2020,5,Good Project.,"Srisailam highway is one of the most developing residential projects. Oxygen City, sukruthi tech park are few good projects around this that are near BTR. Here all good amenities are available. Well maintained.	"
BSR Balaji Enclave,Guest User,27/08/2020,5,Nice project.,"It is a spacious residential area. The approach from the main road is torturous and crowded during peak hours. The security is very strict in terms of checking your credentials and controlling the way you drive inside the premises, so no mishaps. The lifts, walkways and steps are clean."
BSR Balaji Enclave,Varun,05/07/2011,0,Review Of Nerkundrum,?
TVS Emerald Peninsula,Prakash,15/03/2014,4,Manapakkam.,?
Diamond Apartments,Sangeetha,11/05/2014,5,Porur.,?
Diamond Anandam,Shankar,09/05/2014,4,Kattupakkam.,?
Rams Imperia,Subbu,16/08/2013,4,Virugambakkam.,?
Kochars Neetu Arjun Garden,Vijay,12/07/2020,5,Kochar Arjun Garden,This Area good location.. school and Market are available in the location.. this project indoor games and kids play Area are available in the location..
Kochars Neetu Arjun Garden,Vijay,12/07/2020,5,Kochar Arjun Garden,This Area good location.. school and Market are available in the location.. this project indoor games and kids play Area are available in the location..
Kochars Neetu Arjun Garden,Siva,11/03/2013,0,Review Of Gerugambakkam,?
Avittam Lakshmi Narayana,Annapoorni,17/06/2014,5,Chormepet.,?
Adroit Prosper,Prarabdh ,27/06/2016,5,Thalambur.,?
KG House of Champions,Sudin,21/05/2014,5,Perumbakkam.,?
Shriram Park 63,Radha,31/10/2012,0,Review Of G S T Road,?
Plaza Elite Acres,Guest User,09/02/2021,3,Good for investment,"Situated on the main road. I have booked a flat here waiting for the possession, it is also good for investment."
Plaza Elite Acres,Himanshu,04/02/2021,4,Good Project for living,Good Project The Quality Construction with best price.Will have A very good appreciation of Residual Value.ROI is much better with the construction and location.try to visit the site.
Plaza Elite Acres,Guest User,09/02/2021,3,Good for investment,"Situated on the main road. I have booked a flat here waiting for the possession, it is also good for investment."
Plaza Elite Acres,Himanshu,04/02/2021,4,Good Project for living,Good Project The Quality Construction with best price.Will have A very good appreciation of Residual Value.ROI is much better with the construction and location.try to visit the site.
Plaza Elite Acres,Guest User,20/08/2020,4,Plaza Elite Acres_Perumbakkam,"This apartment located in Perumbakkam. This apartment amenities have a Swimming pool, Car parking, Security, Kids play area, Gym, Jogging track etc and nearby market available."
Plaza Elite Acres,Bavya,12/12/2014,5,Perumbakkam.,?
Codename New Porur,Radha,04/01/2014,5,Thirumazhisai.,?
Pragnya Eden Park,Guest User,19/06/2021,4,Nice project.,The awesome atmosphere in the project with solid build quality very nice project with good connectivity for it. It has all amenities and facilities nice ventilated flats.
Pragnya Eden Park,Pavan ,19/06/2021,4,Nice project.,Good society has good amenities and facilities. It is well maintained clean and neat society. Good connectivity for transportation also CCTV around. The apartment is a very safe and secure place.
Pragnya Eden Park,Guest User,19/06/2021,4,Nice project.,The awesome atmosphere in the project with solid build quality very nice project with good connectivity for it. It has all amenities and facilities nice ventilated flats.
Pragnya Eden Park,Pavan ,19/06/2021,4,Nice project.,Good society has good amenities and facilities. It is well maintained clean and neat society. Good connectivity for transportation also CCTV around. The apartment is a very safe and secure place.
Pragnya Eden Park,Guest User,09/06/2021,4,Nice project.,"Pragnya Eden Park is a well-planned ready-to-move project developed by Pragnya South City projects Pvt Ltd situated at Siruseri Chennai. It is a good location which has great connectivity to the national highway, railway station, schools, hospital, banks, markets, and other shopping destination. The... Read More"
Pragnya Eden Park,Guest User,06/01/2021,4,Nice project.,"The apartment design is very good. It has a play area, clubhouse, parking lounge, park, swimming pool, and garden. Surrounded by lush greenery, fresh air, no air pollution. School, retail store, the hospital also near by."
Pragnya Eden Park,Guest User,06/01/2021,4,Beautiful project.,"It is a very nice gated community society with all modern facilities. Society located very near to SIPCOT IT Park. Flats design is very good. It has a clubhouse, gym, swimming pool, and garden. It is quiet a place to live."
Pragnya Eden Park,Guest User,20/12/2020,4,Nice Location.,Pragnya Eden Park nice project. Good Amenities and well maintained project. Good Facilities available.
Pragnya Eden Park,Guest User,19/12/2020,4,Pragnya Eden Park.,"The apartment design is very good. It has a play area, clubhouse, parking lounge, park, swimming pool, and garden. The distance between the two blocks is having a good distance. So there is no problem with aeration and lighting. All amenities are here. Good parking Good security and good lift."
Pragnya Eden Park,Guest User,06/08/2020,5,Pragnya Eden Park.,Pragnya Eden Park is very nice project. This area is good location. School and market are available in the location. This apartment indoor games and kids play area are available in the location.
Pragnya Eden Park,Rajendran,24/03/2013,0,Review Of Siruseri,?
Vishrams Nest,Suresh,08/06/2015,4,Kelambakkam.,?
Chenthur Homes Santhosapuram Flats,Anu Babu,04/03/2016,4,Santhosapuram,?
Akila Heights,Guest User,06/12/2020,4,close to hospital,"Akila Height societys is close to Government Hospital located in Sembakkam Chennai. Good flates with nice interiors nd also available a park nd garden, best apartments and friendly people."
Akila Heights,Guest User,04/12/2020,4,The Prime Project,"Very Recently have visited this project, it is constructed with a long delay by th developers, but the handover is expected after very soon. This is Very Prime Location and all facilities available."
Akila Heights,Guest User,06/12/2020,4,close to hospital,"Akila Height societys is close to Government Hospital located in Sembakkam Chennai. Good flates with nice interiors nd also available a park nd garden, best apartments and friendly people."
Akila Heights,Guest User,04/12/2020,4,The Prime Project,"Very Recently have visited this project, it is constructed with a long delay by th developers, but the handover is expected after very soon. This is Very Prime Location and all facilities available."
Akila Heights,Vinodh,05/04/2014,4,Sembakkam is a good place of Chennai.,?
Marutham Neptune,Varun,05/07/2011,0,Review Of Nerkundrum,?
Rain Drops,Guest User,12/07/2021,4,Good project.,Small builder but big quality materials used. Nice handling with customers.
Rain Drops,Guest User,12/07/2021,4,Good project.,Small builder but big quality materials used. Nice handling with customers.
Rain Drops,Jai,03/02/2013,0,Review Of Old Washermanpet,?
Sree Guru Suraksha,Chandrase,24/08/2013,5,Located in posh area safe prime location near to all.,?
Ridgewood Condos,Mohan,01/04/2016,5,Thoraipakkam.,?
Viva Vianna,Radhakrishnan,25/02/2019,5,Pammal is a good place to live in Chennai.,?
Lancor Infinys,Meenachi,10/05/2014,3,Kikattalai.,?
TATA New Haven Ribbon Walk Phase 1,Guest User,21/06/2021,5,Nice project.,It is a very nice project with good connectivity for easy accessibility to project from any part of the city. It has good main road connectivity very nice quality of construction.
TATA New Haven Ribbon Walk Phase 1,Pavan ,21/06/2021,4,Nice project.,It is the best environment peaceful project. Have good amenities and facilities. It is a full greenery environment that has good connectivity for transportation and well maintained clean and neat project.
TATA New Haven Ribbon Walk Phase 1,Guest User,21/06/2021,5,Nice project.,It is a very nice project with good connectivity for easy accessibility to project from any part of the city. It has good main road connectivity very nice quality of construction.
TATA New Haven Ribbon Walk Phase 1,Pavan ,21/06/2021,4,Nice project.,It is the best environment peaceful project. Have good amenities and facilities. It is a full greenery environment that has good connectivity for transportation and well maintained clean and neat project.
TATA New Haven Ribbon Walk Phase 1,Guest User,05/01/2021,4,beautiful society,"It is a beautiful society with fully loaded amenities. Nice project for living.This apartment have amenities Swimming pool, club house,kids play area, car parking kids play area and security available."
TATA New Haven Ribbon Walk Phase 1,Guest User,05/01/2021,4,Beautiful project with modern amenities,Its a beautiful society with modern amenities.project is near to upcoming bus stand and near to IT park.awesome views from balconies. In society there is no issues of water supply.security is 24hrs available on main gate.
TATA New Haven Ribbon Walk Phase 1,Guest User,01/01/2021,4,Beautiful project.,"It is a beautiful society with fully loaded amenities. Nice project for living. Ventilation is good in flats. Hi, my personal views. The one more highlight is it is near to the upcoming bus stand and near IT Park. Best project for investment."
TATA New Haven Ribbon Walk Phase 1,Guest User,20/12/2020,4,Nice location,New Haven Ribbon Walk Phase 1 is good Residential project. Near many types project Available. Good Roads
TATA New Haven Ribbon Walk Phase 1,Guest User,20/08/2020,4,Well developed Project,This apartment located in mambakkam.This apartment amenities have Swimming pool car parking kids play area and security available.
TATA New Haven Ribbon Walk Phase 1,kumar,05/09/2016,4,Mambakkam.,?
Hansa Gems Park,Guest User,14/12/2020,3,Nice villas,"Nice villas, great place for kids to enjoy as lot of amenities for them , developing area with shops and other basic amenities nearby. Roads are good and wide"
Hansa Gems Park,Gaurav Gupta,06/12/2020,5,Very Good Colorful Apartment,Hansa Gems Park is a Colourful apartment for Low Budget Peoples near Thiruvottiyur Railway station and KCP Company. Bus facilities also available. Worthy for the Price On a Good Suitable Location for Everyone To a Good Place to Buying Homes.
Hansa Gems Park,Guest User,14/12/2020,3,Nice villas,"Nice villas, great place for kids to enjoy as lot of amenities for them , developing area with shops and other basic amenities nearby. Roads are good and wide"
Hansa Gems Park,Gaurav Gupta,06/12/2020,5,Very Good Colorful Apartment,Hansa Gems Park is a Colourful apartment for Low Budget Peoples near Thiruvottiyur Railway station and KCP Company. Bus facilities also available. Worthy for the Price On a Good Suitable Location for Everyone To a Good Place to Buying Homes.
Hansa Gems Park,Guest User,22/08/2020,4,Hansa Gems Park.,"Good amenities, providing all facilities to the customers. Located in the place where customers wants to buy their flats."
Hansa Gems Park,Vijay,22/06/2013,4,All facilities with in reach.,?
Hiranandani Upscale,Guest User,19/08/2020,5,Good project,"This apartment located in Navalur. This apartment amenities have swimming pool, car parking, security, kids play area, gym available."
Hiranandani Upscale,Guest User,19/08/2020,5,Good project,"This apartment located in Navalur. This apartment amenities have swimming pool, car parking, security, kids play area, gym available."
Hiranandani Upscale,Vinodh,06/11/2015,4,Navalur.,?
Arihant Escapade,Guest User,27/10/2020,4,Very popular complex,"The project is a Residential project ,it offers beautiful Apartments. The flats are spacious, well ventilated and Vastu compliant and also full of modern amenities. 24 hrs water are available here which is very essential for our daily life."
Arihant Escapade,Guest User,27/10/2020,4,Very popular complex,"The project is a Residential project ,it offers beautiful Apartments. The flats are spacious, well ventilated and Vastu compliant and also full of modern amenities. 24 hrs water are available here which is very essential for our daily life."
Arihant Escapade,Vamsee,01/10/2015,4,Okkiyam Thuraipakkam.,?
Navins Tara Gardens,Guest User,11/12/2020,5,Good project.,"It is a good residential apartment, Good for families and bachelors working nearby. Approachable easily and a very great project inside the city a very peaceful living place has good security."
Navins Tara Gardens,Guest User,20/10/2020,3,Close to all amenities,Navins Tara is a residential project that is close to all amenities. Mall and school college and local market nearby good location and lovely view from the balcony.
Navins Tara Gardens,Guest User,11/12/2020,5,Good project.,"It is a good residential apartment, Good for families and bachelors working nearby. Approachable easily and a very great project inside the city a very peaceful living place has good security."
Navins Tara Gardens,Guest User,20/10/2020,3,Close to all amenities,Navins Tara is a residential project that is close to all amenities. Mall and school college and local market nearby good location and lovely view from the balcony.
Navins Tara Gardens,Ragavan,30/08/2012,0,Review Of Kottivakkam,?
VGN Krona Phase II,Vijay,12/07/2020,5,VGN Krona Phase II,This Area is good location..School and Market are available in the location.. This apartment indoor games and kids play Area are available..
VGN Krona Phase II,Vijay,12/07/2020,5,VGN Krona Phase II,This Area is good location..School and Market are available in the location.. This apartment indoor games and kids play Area are available..
VGN Krona Phase II,Sowmiya,28/05/2013,5,It is a good & decent location to live in with your family & it is surrounded by good schools.,?
The Royal Castle,Guest User,19/09/2020,5,The Royal Castle.,"Amarprakash Developers Pvt. Ltd. has launched The Royal Castle, a residential housing project located in Chennai. The Apartment is very spacious and of different sizes. The Royal Castle is in close proximity to many reputed schools and hospitals. This is in a prime area, with many attractions work a... Read More"
The Royal Castle,Guest User,19/09/2020,5,The Royal Castle.,"Amarprakash Developers Pvt. Ltd. has launched The Royal Castle, a residential housing project located in Chennai. The Apartment is very spacious and of different sizes. The Royal Castle is in close proximity to many reputed schools and hospitals. This is in a prime area, with many attractions work a... Read More"
The Royal Castle,Gunasekar,29/04/2014,4,Chromepet.,?
TVS Emerald LightHouse,Srini,14/09/2013,5,Pallavaram.,?
Malles Arcadiaa,Suresh babu,27/07/2015,5,Velachery.,?
Gokul Flats,Harsha,03/08/2015,3,T Nagar.,?
Appaswamy Greensville,Guest User,28/08/2020,5,Very good project.,"It is a very nice project in Chennai. The project comes with a gymnasium, swimming pool, a play area for kids, clubhouse, party hall, indoor games facilities, rainwater harvesting facilities and intercom facilities. The amenities are enjoyable and helpful to engage kids."
Appaswamy Greensville,Guest User,28/08/2020,5,Very good project.,"It is a very nice project in Chennai. The project comes with a gymnasium, swimming pool, a play area for kids, clubhouse, party hall, indoor games facilities, rainwater harvesting facilities and intercom facilities. The amenities are enjoyable and helpful to engage kids."
Appaswamy Greensville,Gopi,18/10/2014,5,Sholinganallur.,?
Adroit Artistica,Guest User,12/07/2020,4,Very nice project,This apartment located in sholiganallur.This apartment amenities have covered car parking security play area and near by branded shops available.
Adroit Artistica,Guest User,12/07/2020,4,Very nice project,This apartment located in sholiganallur.This apartment amenities have covered car parking security play area and near by branded shops available.
Adroit Artistica,Rajesh,03/12/2013,5,Sholinganallur is a very good place in Chennai.,?
Deccan Kalpataru,Sathiyabhama,27/01/2014,5,Sholinganallur.,?
VGN Stafford,Guest User,22/05/2021,4,Good project.,VGN Stafford is a good residential project. It is a good and peaceful place to live with family. Well-maintained project. All amenities are available in this project.
VGN Stafford,Guest User,22/05/2021,5,Nice project.,"This is under construction project possession will start from April 26. All amenities to fulfill the needs of residents with international schools, colleges, lifestyle malls, recreation parks, and hospitals being nearby."
VGN Stafford,Guest User,22/05/2021,4,Good project.,VGN Stafford is a good residential project. It is a good and peaceful place to live with family. Well-maintained project. All amenities are available in this project.
VGN Stafford,Guest User,22/05/2021,5,Nice project.,"This is under construction project possession will start from April 26. All amenities to fulfill the needs of residents with international schools, colleges, lifestyle malls, recreation parks, and hospitals being nearby."
VGN Stafford,Guest User,26/12/2020,4,Nice Location.,VGN Stafford is good Project. Very luxurious project good Place to live life. Well maintained project. Good security staff
VGN Stafford,Guest User,21/12/2020,4,Best project.,"The project is in a prime location, good high rise towers, positive is location, brand name, good repot to complete the project on time. All amenity is available in this project."
VGN Stafford,Rathna,20/05/2014,5,Ambattur.,?
Lancor Abode Valley,Guest User,19/09/2020,5,Nice place,"A nice place to live with your friends if you are a SRM student. The flats are well furnished having all the amenities. It has a swimming pool, Gym, ground and indoor badminton court quite enjoyable for us."
Lancor Abode Valley,Guest User,19/09/2020,5,Nice place,"A nice place to live with your friends if you are a SRM student. The flats are well furnished having all the amenities. It has a swimming pool, Gym, ground and indoor badminton court quite enjoyable for us."
Lancor Abode Valley,Karthika,08/01/2013,0,Review Of Potheri,?
Akila Heights,Guest User,06/12/2020,4,close to hospital,"Akila Height societys is close to Government Hospital located in Sembakkam Chennai. Good flates with nice interiors nd also available a park nd garden, best apartments and friendly people."
Akila Heights,Guest User,04/12/2020,4,The Prime Project,"Very Recently have visited this project, it is constructed with a long delay by th developers, but the handover is expected after very soon. This is Very Prime Location and all facilities available."
Akila Heights,Guest User,06/12/2020,4,close to hospital,"Akila Height societys is close to Government Hospital located in Sembakkam Chennai. Good flates with nice interiors nd also available a park nd garden, best apartments and friendly people."
Akila Heights,Guest User,04/12/2020,4,The Prime Project,"Very Recently have visited this project, it is constructed with a long delay by th developers, but the handover is expected after very soon. This is Very Prime Location and all facilities available."
Akila Heights,Vinodh,05/04/2014,4,Sembakkam is a good place of Chennai.,?
Kochar Panchsheel,Raghunathan,26/03/2016,4,Ambattur.,?
RC Royal Grande,Rajesh,23/06/2012,0,Review Of Thirumullaivayal,?
OMR IT Avenue,Rajan,28/07/2014,5,Vandalur.,?
Barefoot Bay,Suresh,28/12/2012,0,Review Of E.C.R Road,?
Akshaya Metropolis,Guest User,25/10/2020,4,Nice project.,"It is a luxurious residential project. The project comes in with excellent amenities for its residents, like a Gymnasium, Swimming pool, Clubhouse, Multipurpose Room, Sports facility, etc."
Akshaya Metropolis,Guest User,22/10/2020,5,Nice project.,"This is an ultimate reflection of the urban chic lifestyle located in Maraimalai Nagar, Chennai. The project hosts in its lap exclusively designed residential apartments, each being an epitome of elegance and simplicity."
Akshaya Metropolis,Guest User,25/10/2020,4,Nice project.,"It is a luxurious residential project. The project comes in with excellent amenities for its residents, like a Gymnasium, Swimming pool, Clubhouse, Multipurpose Room, Sports facility, etc."
Akshaya Metropolis,Guest User,22/10/2020,5,Nice project.,"This is an ultimate reflection of the urban chic lifestyle located in Maraimalai Nagar, Chennai. The project hosts in its lap exclusively designed residential apartments, each being an epitome of elegance and simplicity."
Akshaya Metropolis,Guest User,13/08/2020,4,Excellent project.,This area is good location. School and market are available in the location. This apartment indoor games and kids play area are available in the project.
Akshaya Metropolis,Chukkala,12/12/2012,0,Review Of Maraimalai Nagar,?
Sare Crescent Parc Dewy Terraces,Kasthuri,04/05/2016,5,Thiruporur.,?
